name,surname,nationality,birth_date
Adam,Sadler,England,
Aidy,Boothroyd,England,
Aitor,Karanka,Spain,
Alain,Perrin,France,
Alan,Curbishley,England,
Alan,Pardew,England,
Alan,Smith,England,
Alan,Ball,England,
Alan,Shearer,England,
Alan,Curtis,Wales,
Alan,Irvine,Scotland,
Alex,McLeish,Scotland,
Alex,Ferguson,Scotland,
Alex,Neil,Scotland,
Alex,Inglethorpe,England,
AndrÃ©,Villas-Boas,Portugal,
Antonio,Conte,Italy,
Archie,Knox,Scotland,
ArsÃ¨ne,Wenger,France,
Attilio,Lombardo,Italy,
Avram,Grant,Israel,
Billy,McEwan,Scotland,
Billy,Davies,Scotland,
Billy,Bonds,England,
Bob,Bradley,United States,
Bobby,Gould,England,
Bobby,Robson,England,
Brendan,Rodgers,Northern Ireland,
Brian,Little,England,
Brian,Kidd,England,
Brian,Laws,England,
Brian,Horton,England,
Brian,Clough,England,
Brian,McDermott,England,
Bruce,Rioch,Scotland,
Bruno,Lage,Portugal,
Bryan,Robson,England,
Carlo,Ancelotti,Italy,
Carlos,Carvalhal,Portugal,
Chris,Hutchings,England,
Chris,Hughton,Republic of Ireland,
Chris,Coleman,Wales,
Chris,Hughton,Republic of Ireland,
Chris,Ramsey,England,
Chris,Wilder,England,
Chris,Hughton,Republic of Ireland,
Christian,Gross,Switzerland,
Claude,Puel,France,
Claudio,Ranieri,Italy,
Clive,Allen,England,
Colin,Todd,England,
Craig,Shakespeare,England,
Daniel,Farke,Germany,
Danny,Wilson,Northern Ireland,
Darren,Moore,Jamaica,
Dave,Watson,England,
Dave,Bassett,England,
Dave,Merrington,England,
Dave,Jones,England,
David,O'Leary,Republic of Ireland,
David,Kerslake,England,
David,Webb,England,
David,Moyes,Scotland,
David,Unsworth,England,
David,Wagner,United States,
David,Pleat,England,
Dean,Smith,England,
Dick,Advocaat,Netherlands,
Doug,Livermore,England,
Duncan,Ferguson,Scotland,
Eddie,Howe,England,
Eddie,Gray,Scotland,
Eddie,Niedzwiecki,Wales,
Egil,Olsen,Norway,
Eric,Black,Scotland,
Felix,Magath,Germany,
Francesco,Guidolin,Italy,
Frank,Lampard,England,
Frank,de Boer,Netherlands,
Frank,Clark,England,
Frank,Burrows,Scotland,
Frank,Barlow,England,
Freddie,Ljungberg,Sweden,
GÃ©rard,Houllier,France,
Gareth,Southgate,England,
Garry,Monk,England,
Gary,McAllister,Scotland,
Gary,Megson,England,
George,Graham,Scotland,
George,Burley,Scotland,
Gerry,Francis,England,
Gianfranco,Zola,Italy,
Gianluca,Vialli,Italy,
Glenn,Hoddle,England,
Glenn,Roeder,England,
Gordon,Strachan,Scotland,
Graeme,Souness,Scotland,
Graeme,Jones,England,
Graham,Taylor,England,
Graham,Potter,England,
Graham,Rix,England,
Gus,Poyet,Uruguay,
Guus,Hiddink,Netherlands,
Harry,Redknapp,England,
Hayden,Mullins,England,
Howard,Kendall,England,
Howard,Wilkinson,England,
Iain,Dowie,Northern,
Iain,Dowie,Northern Ireland,
Ian,Holloway,England,
Ian,Porterfield,Scotland,
Ian,Branfoot,England,
JÃ¼rgen,Klopp,Germany,
Jacques,Santini,France,
Jan,Siewert,Germany,
Javi,Gracia,Spain,
Jean,Tigana,France,
Jim,Jefferies,Scotland,
Jim,Smith,England,
Jimmy,Gabriel,Scotland,
Joe,Royle,England,
Joe,Kinnear,Republic of Ireland,
Joe,Jordan,Scotland,
John,Gregory,England,
John,Deehan,England,
John,Lyall,England,
John,Wark,Scotland,
John,Carver,England,
John,Gorman,Scotland,
JosÃ©,Mourinho,Portugal,
Juande,Ramos,Spain,
Keith,Millen,England,
Keith,Downing,England,
Kelvin,Davis,England,
Kenny,Dalglish,Scotland,
Kevin,MacDonald,Scotland,
Kevin,Keegan,England,
Kevin,Bond,England,
Kevin,Ball,England,
Kevin,Keen,England,
Lawrie,Sanchez,Northern Ireland,
Lennie,Lawrence,England,
Leon,Britton,England,
Les,Reed,England,
Louis,van Gaal,Netherlands,
Luiz,Felipe Scolari,Brazil,
Malky,Mackay,Scotland,
Manuel,Pellegrini,Chile,
Marcelo,Bielsa,Argentina,
Marco,Silva,Portugal,
Mark,Hughes,Wales,
Mark,Hudson,England,
Mark,McGhee,Scotland,
Mark,Bowen,Wales,
Martin,O'Neill,Northern Ireland,
Martin,Jol,Netherlands,
Martin,O'Neill,Northern,
Mauricio,Pochettino,Argentina,
Mauricio,Pellegrino,Argentina,
Maurizio,Sarri,Italy,
Michael,Appleton,England,
Michael,Carrick,England,
Michael,Laudrup,Denmark,
Mick,McCarthy,Republic of Ireland,
Micky,Adams,England,
Mike,Walker,Wales,
Mike,Phelan,England,
Mike,Stowell,England,
Mikel,Arteta,Spain,
name,surname,nationality,
Neil,Warnock,England,
Neil,Adams,England,
Nigel,Pearson,England,
Nigel,Worthington,Northern Ireland,
Nigel,Adkins,England,
Nuno,EspÃ­rito Santo,Portugal,
Nuno,EspÃ­rito,Portugal,
Ole,Gunnar SolskjÃ¦r,Norway,
Ossie,Ardiles,Argentina,
Owen,Coyle,Republic of Ireland,
Paolo,Di Canio,Italy,
Pat,Rice,Northern Ireland,
Patrick,Vieira,France,
Paul,Lambert,Scotland,
Paul,Ince,England,
